location,names
"https://www.google.com/maps/dir/?api=1&destination=19.1094711505,72.8812160343",Bombay To Barcelona Library Café
"https://www.google.com/maps/dir/?api=1&destination=18.9332097761,72.8250784054",K. Rustom Ice Cream
"https://www.google.com/maps/dir/?api=1&destination=18.9625452098,72.8158958629",B Merwan & Co
"https://www.google.com/maps/dir/?api=1&destination=18.9512018821,72.8282779455",Shree Thaker Bhojanalay
"https://www.google.com/maps/dir/?api=1&destination=19.0276929482,72.8551791608",Cafe Madras
"https://www.google.com/maps/dir/?api=1&destination=19.1190784854,72.8454249725",Merwans Cake Stop
"https://www.google.com/maps/dir/?api=1&destination=19.0609700993,72.8344647959",Yauatcha
"https://www.google.com/maps/dir/?api=1&destination=19.0280507923,72.8516738489",Hotel Ram Ashraya
"https://www.google.com/maps/dir/?api=1&destination=19.0636503627,72.8349975497",Bastian
"https://www.google.com/maps/dir/?api=1&destination=19.1285363827,72.8171799704",The Tanjore Tiffin Room
"https://www.google.com/maps/dir/?api=1&destination=19.0609700993,72.8344647959",Hakkasan
"https://www.google.com/maps/dir/?api=1&destination=19.1077176495,72.8804831207",JW Café - JW Marriott Mumbai Sahar
"https://www.google.com/maps/dir/?api=1&destination=19.0233623081,72.8392113000",Prakash Shakahari Upahaar Kendra
"https://www.google.com/maps/dir/?api=1&destination=19.0689743183,72.8696426377",Masala Library
"https://www.google.com/maps/dir/?api=1&destination=19.0552044393,72.8270823509",Hearsch Bakery
"https://www.google.com/maps/dir/?api=1&destination=19.0599699805,72.8342210501",Coppetto Artisan Gelato
"https://www.google.com/maps/dir/?api=1&destination=18.9221397481,72.8337563574",Wasabi By Morimoto - The Taj Mahal Palace
"https://www.google.com/maps/dir/?api=1&destination=19.1107446843,72.8253392503",Bayroute
"https://www.google.com/maps/dir/?api=1&destination=19.0358560000,73.0241780000",The Big Cloud Kitchen
"https://www.google.com/maps/dir/?api=1&destination=18.9987630324,72.8176859021",Aer - Four Seasons
"https://www.google.com/maps/dir/?api=1&destination=19.0648130219,72.8308340907",Bombay Salad Co.
"https://www.google.com/maps/dir/?api=1&destination=18.9325412503,72.8345328569",Starbucks Coffee
"https://www.google.com/maps/dir/?api=1&destination=19.0196775460,72.8321265802",Ashok Vada Pav Stall
"https://www.google.com/maps/dir/?api=1&destination=18.9213830078,72.8323659673",Pa Pa Ya
"https://www.google.com/maps/dir/?api=1&destination=19.0274802699,72.8507072479",A.Rama Nayak's Udipi Shri Krishna Boarding
"https://www.google.com/maps/dir/?api=1&destination=19.1742115680,72.9540685192",Kwality Wall's
"https://www.google.com/maps/dir/?api=1&destination=19.0485353672,72.8259504586",Taj Mahal Tea House
"https://www.google.com/maps/dir/?api=1&destination=19.1160199243,72.9088220000",Poetry by Love and Cheesecake
"https://www.google.com/maps/dir/?api=1&destination=19.0239157286,72.8379228339",Ovenfresh
"https://www.google.com/maps/dir/?api=1&destination=19.1781772594,72.8347427398",Joey's Pizza
"https://www.google.com/maps/dir/?api=1&destination=19.1129036502,72.8256192058",Dakshinayan
"https://www.google.com/maps/dir/?api=1&destination=19.0658543065,72.8299154341",Smoke House Deli
"https://www.google.com/maps/dir/?api=1&destination=18.9800975779,72.8201079369",Gallops
"https://www.google.com/maps/dir/?api=1&destination=19.0438994373,73.0091952905",Barbeque Nation
"https://www.google.com/maps/dir/?api=1&destination=18.9530724602,72.8172295913",Vinay Health Home
"https://www.google.com/maps/dir/?api=1&destination=19.2293084809,72.8438535333",81 Olives
"https://www.google.com/maps/dir/?api=1&destination=18.9943615773,72.8238925338",Palladium Social
"https://www.google.com/maps/dir/?api=1&destination=19.0601838848,72.8642698377",O Pedro
"https://www.google.com/maps/dir/?api=1&destination=19.0538873790,72.8298057988",Imbiss
"https://www.google.com/maps/dir/?api=1&destination=19.0875010000,72.9160810000",NIC - Natural Ice Creams
"https://www.google.com/maps/dir/?api=1&destination=18.9557684150,72.8120673448",Crystal
"https://www.google.com/maps/dir/?api=1&destination=18.9284770761,72.8337174654",The Nutcracker
"https://www.google.com/maps/dir/?api=1&destination=19.1153620000,72.9070830000",Natural Ice Cream
"https://www.google.com/maps/dir/?api=1&destination=18.9296235543,72.8320139274",Burma  Burma
"https://www.google.com/maps/dir/?api=1&destination=18.9245780399,72.8319505602",Woodside Inn
"https://www.google.com/maps/dir/?api=1&destination=18.9221397481,72.8337563574",Sea Lounge - The Taj Mahal Palace
"https://www.google.com/maps/dir/?api=1&destination=19.1355602368,72.8202538019",Huckin' Fungry!
"https://www.google.com/maps/dir/?api=1&destination=18.9145097077,72.8211677447","Thai Pavilion - President, Mumbai - IHCL SeleQtions"
"https://www.google.com/maps/dir/?api=1&destination=19.3800446969,72.8306335956",Shree Om Dairy Farm
"https://www.google.com/maps/dir/?api=1&destination=19.1077014925,72.8804888204",Romano's - JW Marriott Mumbai Sahar
"https://www.google.com/maps/dir/?api=1&destination=19.0601826172,72.8642708436",Gateway Taproom
"https://www.google.com/maps/dir/?api=1&destination=19.1135226647,72.8914208338",Swap Habits
"https://www.google.com/maps/dir/?api=1&destination=19.2503750000,72.8442010000",Shailesh Sweetcorn
"https://www.google.com/maps/dir/?api=1&destination=19.1024931204,72.8410368289",The Takeout
"https://www.google.com/maps/dir/?api=1&destination=19.1890921554,72.8348258883",Jimis Burger
"https://www.google.com/maps/dir/?api=1&destination=18.9492691000,72.8318865000",Mohanlal S Mithaiwala
"https://www.google.com/maps/dir/?api=1&destination=19.1157497038,72.9088347405",Theobroma
"https://www.google.com/maps/dir/?api=1&destination=19.0199764506,72.8366826475",Aaswad
"https://www.google.com/maps/dir/?api=1&destination=19.1257849466,72.8619178757",Gulati's
"https://www.google.com/maps/dir/?api=1&destination=19.1038224981,72.8516332805",Gajalee
"https://www.google.com/maps/dir/?api=1&destination=19.0625630000,72.8308290000",Le 15 Patisserie
"https://www.google.com/maps/dir/?api=1&destination=19.0271129159,72.8509121016",Arya Bhavan
"https://www.google.com/maps/dir/?api=1&destination=19.0182993447,72.8328296542",Chaitanya
"https://www.google.com/maps/dir/?api=1&destination=19.1511346900,72.8317121789",Sammy Sosa
"https://www.google.com/maps/dir/?api=1&destination=19.0663390000,72.8310100000",Blue's Kitchen By Loima
"https://www.google.com/maps/dir/?api=1&destination=19.1812014189,72.8363339603",Stacks And Racks
"https://www.google.com/maps/dir/?api=1&destination=18.9582414126,72.8361482173",Sip N Snack
"https://www.google.com/maps/dir/?api=1&destination=19.0320532686,73.0666317791",Cafe Monza
"https://www.google.com/maps/dir/?api=1&destination=19.2263773293,72.9706348479",D'Crepes Cafe
"https://www.google.com/maps/dir/?api=1&destination=19.2276256000,73.1588837000",A-1 Sweets
"https://www.google.com/maps/dir/?api=1&destination=19.1036678940,72.8512527421",7th Heaven
"https://www.google.com/maps/dir/?api=1&destination=19.1433574281,72.8379503265",Farid Seekh Kebab Centre
"https://www.google.com/maps/dir/?api=1&destination=19.1953350658,72.9612511396",MH-09 Shetkari
"https://www.google.com/maps/dir/?api=1&destination=19.1306403167,72.8316176310",Sin City Rooftop Resto & Lounge
"https://www.google.com/maps/dir/?api=1&destination=19.2465180000,72.9843240000",Dough & Crème
"https://www.google.com/maps/dir/?api=1&destination=18.9574423457,72.8089221194",Soam
"https://www.google.com/maps/dir/?api=1&destination=18.9286857579,72.8322808072",Trishna
"https://www.google.com/maps/dir/?api=1&destination=19.0895473070,72.8274665773",Estella
"https://www.google.com/maps/dir/?api=1&destination=19.1160893009,72.9090617225",Häagen-Dazs
"https://www.google.com/maps/dir/?api=1&destination=19.0629025045,72.8292324767",Jai Hind Lunch Home
"https://www.google.com/maps/dir/?api=1&destination=19.0815678458,72.8355125338",Gokul Ice Creams
"https://www.google.com/maps/dir/?api=1&destination=18.9357401917,72.8390540555",Britannia & Company Restaurant
"https://www.google.com/maps/dir/?api=1&destination=19.0390852603,72.8426954895",Cafe Irani Chaii
"https://www.google.com/maps/dir/?api=1&destination=19.1031870000,72.8365560000",The Comfort Zone
"https://www.google.com/maps/dir/?api=1&destination=19.1442769093,72.8319562599",Belo Pops
"https://www.google.com/maps/dir/?api=1&destination=19.1426790000,72.8316420000",Chatkara House
