category,cost,cuisine,featured,location,names,rating,reviews,urls
Fine Dining,"Rs. 2,800","Asian,Cantonese,Chinese",Best of Mumbai,"Linking Road, Bandra West","Yauatcha
                                    ",4.9,"(6,513 Reviews)",https://www.zomato.com/mumbai/yauatcha-linking-road-bandra-west
Quick Bites,Rs. 200,"South Indian,Beverages","Great Breakfasts,Regional Favorites,Best of Mumbai",Matunga East,"Hotel Ram Ashraya
                                    ",4.9,"(5,471 Reviews)",https://www.zomato.com/mumbai/hotel-ram-ashraya-matunga-east
Casual Dining,"Rs. 1,200",Gujarati,"Terrific Thalis,Best of Mumbai",Kalbadevi,"Shree Thaker Bhojanalay
                                    ",4.9,"(1,777 Reviews)",https://www.zomato.com/mumbai/shree-thaker-bhojanalay-kalbadevi
Dessert Parlor,Rs. 150,"Desserts,Ice Cream","Legendary Outlets,Best of Mumbai",Churchgate,"K. Rustom Ice Cream
                                    ",4.9,"(3,591 Reviews)",https://www.zomato.com/mumbai/k-rustom-ice-cream-churchgate
Bakery,Rs. 100,"Bakery,Fast Food,Desserts",Best of Mumbai,Grant Road,"B Merwan & Co
                                    ",4.9,"(1,949 Reviews)",https://www.zomato.com/mumbai/b-merwan-co-grant-road
Café,Rs. 500,"Cafe,Fast Food,Spanish",Best of Mumbai,Marol,"Bombay To Barcelona Library Café
                                    ",4.9,"(1,183 Reviews)",https://www.zomato.com/mumbai/bombay-to-barcelona-library-café-marol
Bakery,Rs. 200,"Bakery,Fast Food","Sweet Tooth,Best of Mumbai",Near Andheri West Station,"Merwans Cake Stop
                                    ",4.8,"(2,091 Reviews)",https://www.zomato.com/mumbai/merwans-cake-stop-near-andheri-west-station
Quick Bites,Rs. 250,South Indian,"Legendary Outlets,Great Breakfasts,Best of Mumbai",Matunga East,"Cafe Madras
                                    ",4.8,"(5,184 Reviews)",https://www.zomato.com/mumbai/cafe-madras-matunga-east
Fine Dining,"Rs. 4,200",Seafood,"Super Seafood,Best of Mumbai","Linking Road, Bandra West","Bastian
                                    ",4.8,"(2,598 Reviews)",https://www.zomato.com/mumbai/bastian-linking-road-bandra-west
Casual Dining,Rs. 800,"Chettinad,South Indian",Best of Mumbai,"Versova, Andheri West","The Tanjore Tiffin Room
                                    ",4.8,"(1,417 Reviews)",https://www.zomato.com/mumbai/the-tanjore-tiffin-room-versova
Fine Dining,"Rs. 4,000","North Indian,Asian,Continental,Italian,Desserts","Sunday Brunches,Luxury Dining,Wine & Dine,Sneak Peek Mumbai,Best of Mumbai","JW Marriott Mumbai Sahar, Chakala","JW Café - JW Marriott Mumbai Sahar
                                    ",4.8,"(1,944 Reviews)",https://www.zomato.com/mumbai/jw-café-jw-marriott-mumbai-sahar-chakala
Fine Dining,"Rs. 2,600","Chinese,Cantonese,Asian",Best of Mumbai,"Linking Road, Bandra West","Hakkasan
                                    ",4.8,"(2,955 Reviews)",https://www.zomato.com/mumbai/hakkasan-linking-road-bandra-west
Quick Bites,Rs. 150,"Fast Food,Maharashtrian","Great Breakfasts,Best of Mumbai",Dadar Shivaji Park,"Prakash Shakahari Upahaar Kendra
                                    ",4.8,"(1,250 Reviews)",https://www.zomato.com/mumbai/prakash-shakahari-upahaar-kendra-dadar-shivaji-park
Dessert Parlor,Rs. 350,"Ice Cream,Desserts,Beverages",Best of Mumbai,"Linking Road, Bandra West","Coppetto Artisan Gelato
                                    ","4.8,4.7",,https://www.zomato.com/mumbai/coppetto-artisan-gelato-linking-road-bandra-west
Fine Dining,"Rs. 5,000",Modern Indian,Best of Mumbai,"First International Financial Centre, Bandra Kurla Complex","Masala Library
                                    ",4.8,"(4,292 Reviews)",https://www.zomato.com/mumbai/masala-library-bandra-kurla-complex
Bakery,Rs. 400,"Bakery,Desserts,Fast Food",Best of Mumbai,"Hill Road, Bandra West","Hearsch Bakery
                                    ",4.7,"(2,592 Reviews)",https://www.zomato.com/mumbai/hearsch-bakery-hill-road-bandra-west
Fine Dining,"Rs. 3,000","Egyptian,Turkish,Lebanese,Moroccan,Greek",Best of Mumbai,Juhu,"Bayroute
                                    ",4.7,"(1,544 Reviews)",https://www.zomato.com/mumbai/bayroute-juhu
Casual Dining,Rs. 900,"Salad,Healthy Food,Juices","Healthy Eats,Best of Mumbai","Linking Road, Bandra West","Bombay Salad Co.
                                    ",4.7,"(3,235 Reviews)",https://www.zomato.com/bombaysalad
Quick Bites,Rs. 100,Street Food,Best of Mumbai,Prabhadevi,"Ashok Vada Pav Stall
                                    ",4.7,"(1,123 Reviews)",https://www.zomato.com/mumbai/ashok-vada-pav-stall-prabhadevi
,Rs. 400,"Italian,Chinese,Burger,Sandwich,Salad,Fast Food",Best of Mumbai,Nerul,"The Big Cloud Kitchen
                                    ",4.7,(155 Reviews),https://www.zomato.com/mumbai/the-big-cloud-kitchen-1-nerul-navi-mumbai
Casual Dining,"Rs. 1,300","North Indian,Kebab,BBQ,Chinese",Best of Mumbai,Nerul,"Barbeque Nation
                                    ",4.7,"(2,452 Reviews)",https://www.zomato.com/mumbai/barbeque-nation-nerul-navi-mumbai
