names,category,rating,reviews,cost,cuisine,featured,location,urls
Yauatcha,Fine Dining,4.9,6513.0,2800.0,"Asian,Cantonese,Chinese",Best of Mumbai,"Linking Road, Bandra West",https://www.zomato.com/mumbai/yauatcha-linking-road-bandra-west
Hotel Ram Ashraya,Quick Bites,4.9,5471.0,200.0,"South Indian,Beverages","Great Breakfasts,Regional Favorites,Best of Mumbai",Matunga East,https://www.zomato.com/mumbai/hotel-ram-ashraya-matunga-east
Shree Thaker Bhojanalay,Casual Dining,4.9,1777.0,1200.0,Gujarati,"Terrific Thalis,Best of Mumbai",Kalbadevi,https://www.zomato.com/mumbai/shree-thaker-bhojanalay-kalbadevi
K. Rustom Ice Cream,Dessert Parlor,4.9,3591.0,150.0,"Desserts,Ice Cream","Legendary Outlets,Best of Mumbai",Churchgate,https://www.zomato.com/mumbai/k-rustom-ice-cream-churchgate
B Merwan & Co,Bakery,4.9,1949.0,100.0,"Bakery,Fast Food,Desserts",Best of Mumbai,Grant Road,https://www.zomato.com/mumbai/b-merwan-co-grant-road
Bombay To Barcelona Library Café,Café,4.9,1183.0,500.0,"Cafe,Fast Food,Spanish",Best of Mumbai,Marol,https://www.zomato.com/mumbai/bombay-to-barcelona-library-café-marol
Merwans Cake Stop,Bakery,4.8,2091.0,200.0,"Bakery,Fast Food","Sweet Tooth,Best of Mumbai",Near Andheri West Station,https://www.zomato.com/mumbai/merwans-cake-stop-near-andheri-west-station
Cafe Madras,Quick Bites,4.8,5184.0,250.0,South Indian,"Legendary Outlets,Great Breakfasts,Best of Mumbai",Matunga East,https://www.zomato.com/mumbai/cafe-madras-matunga-east
Bastian,Fine Dining,4.8,2598.0,4200.0,Seafood,"Super Seafood,Best of Mumbai","Linking Road, Bandra West",https://www.zomato.com/mumbai/bastian-linking-road-bandra-west
The Tanjore Tiffin Room,Casual Dining,4.8,1417.0,800.0,"Chettinad,South Indian",Best of Mumbai,"Versova, Andheri West",https://www.zomato.com/mumbai/the-tanjore-tiffin-room-versova
JW Café - JW Marriott Mumbai Sahar,Fine Dining,4.8,1944.0,4000.0,"North Indian,Asian,Continental,Italian,Desserts","Sunday Brunches,Luxury Dining,Wine & Dine,Sneak Peek Mumbai,Best of Mumbai","JW Marriott Mumbai Sahar, Chakala",https://www.zomato.com/mumbai/jw-café-jw-marriott-mumbai-sahar-chakala
